category,sub_category,price,image_url,addr_pr,slug,store,name
TELEPHONIE,Accessoires Téléphonie,"6,000 DT",http://www.mytek.tn/35002-large_default/coque-silicone-samsung-a510.jpg,http://www.mytek.tn/etuis-et-coques-tunisie/7150-coque-silicone-samsung-a510.html,,My Teck,COQUE SILICONE SAMSUNG A510
IMPRESSION,Consommables,"35,000 DT",http://www.mytek.tn/21135-large_default/epson-cartouche-dorigine-712-cyan-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/3294-epson-cartouche-dorigine-712-cyan-tunsie.html,,My Teck,Cartouche d'encre d'origine Epson T0712 CYAN
IMPRESSION,Consommables,"39,900 DT",http://www.mytek.tn/20971-large_default/cartouche-jet-d-encre-hp-121-noir.jpg,http://www.mytek.tn/cartouche-tunisie/3265-cartouche-jet-d-encre-hp-121-noir.html,,My Teck,Cartouche jet d'encre HP 121 Noir
TELEPHONIE,Accessoires Téléphonie,"10,000 DT",http://www.mytek.tn/28592-large_default/flip-cover-huawei-y5-tunsie.jpg,http://www.mytek.tn/etuis-et-coques-tunisie/4901-flip-cover-huawei-y5-tunsie.html,,My Teck,FLIP COVER HUAWEI Y5
TELEPHONIE,Accessoires Téléphonie,"6,000 DT",http://www.mytek.tn/28458-large_default/coque-silicone-huawei-y3c-tunsie.jpg,http://www.mytek.tn/etuis-et-coques-tunisie/4900-coque-silicone-huawei-y3c-tunsie.html,,My Teck,COQUE SILICONE HUAWEI Y3C
TELEPHONIE,Accessoires Téléphonie,"6,000 DT",http://www.mytek.tn/28453-large_default/coque-silicone-huawei-y5-tunsie.jpg,http://www.mytek.tn/etuis-et-coques-tunisie/4899-coque-silicone-huawei-y5-tunsie.html,,My Teck,COQUE SILICONE HUAWEI Y5
TELEPHONIE,Accessoires Téléphonie,"10,000 DT",http://www.mytek.tn/28600-large_default/flip-cover-galaxy-j7-tunsie.jpg,http://www.mytek.tn/etuis-et-coques-tunisie/4902-flip-cover-galaxy-j7-tunsie.html,,My Teck,FLIP COVER GALAXY J7
TELEPHONIE,Accessoires Téléphonie,"15,000 DT",http://www.mytek.tn/28612-large_default/flip-cover-samsung-note-5-tunsie.jpg,http://www.mytek.tn/etuis-et-coques-tunisie/4705-flip-cover-samsung-note-5-tunsie.html,,My Teck,FLIP COVER SAMSUNG NOTE 5
BUREAUTIQUE,MATERIEL POINT DE VENTE,"599,000 DT",http://www.mytek.tn/23585-large_default/douchette-honeywell-yoyageur-1202g-tunsie.jpg,http://www.mytek.tn/douchette/3869-douchette-honeywell-yoyageur-1202g-tunsie.html,,My Teck, DOUCHETTE HONEYWELL YOYAGEUR 1202G
TELEPHONIE,Accessoires Téléphonie,"6,000 DT",http://www.mytek.tn/28449-large_default/coque-silicone-huawei-honor-4c-tunsie.jpg,http://www.mytek.tn/etuis-et-coques-tunisie/4701-coque-silicone-huawei-honor-4c-tunsie.html,,My Teck,COQUE SILICONE HUAWEI HONOR 4C
TELEPHONIE,Accessoires Téléphonie,"6,000 DT",http://www.mytek.tn/28443-large_default/coque-silicone-huawei-p8-lite-tunsie.jpg,http://www.mytek.tn/etuis-et-coques-tunisie/4700-coque-silicone-huawei-p8-lite-tunsie.html,,My Teck,COQUE SILICONE HUAWEI P8 LITE
TELEPHONIE,Accessoires Téléphonie,"29,900 DT",http://www.mytek.tn/28567-large_default/flip-cover-metal-note-5-tunsie.jpg,http://www.mytek.tn/etuis-et-coques-tunisie/4699-flip-cover-metal-note-5-tunsie.html,,My Teck,FLIP COVER METAL NOTE 5
IMPRESSION,Consommables,"59,000 DT",http://www.mytek.tn/20955-large_default/cartouche-hp-jet-d-encre-22-xl-couleur.jpg,http://www.mytek.tn/cartouche-tunisie/3262-cartouche-hp-jet-d-encre-22-xl-couleur.html,,My Teck,Cartouche HP jet d'encre 22 XL Couleur
IMPRESSION,Consommables,"359,000 DT",http://www.mytek.tn/20920-large_default/hp-toner-dorigine-55a-noir-tunsie.jpg,http://www.mytek.tn/toner-imprimante-tunisie/3257-hp-toner-dorigine-55a-noir-tunsie.html,,My Teck,HP Toner d'Origine 55A Noir
IMPRESSION,Consommables,"349,000 DT",http://www.mytek.tn/20898-large_default/hp-toner-dorigine-55x-noir-tunsie.jpg,http://www.mytek.tn/toner-imprimante-tunisie/3253-hp-toner-dorigine-55x-noir-tunsie.html,,My Teck,HP Toner d'Origine 55X Noir
TELEPHONIE,Accessoires Téléphonie,"6,000 DT",http://www.mytek.tn/28478-large_default/coque-silicone-lenovo-a7000-tunsie.jpg,http://www.mytek.tn/etuis-et-coques-tunisie/4684-coque-silicone-lenovo-a7000-tunsie.html,,My Teck,COQUE SILICONE LENOVO A7000
TELEPHONIE,Accessoires Téléphonie,"6,000 DT",http://www.mytek.tn/28464-large_default/coque-silicone-lenovo-a5000-tunsie.jpg,http://www.mytek.tn/etuis-et-coques-tunisie/4698-coque-silicone-lenovo-a5000-tunsie.html,,My Teck,COQUE SILICONE LENOVO A5000
